ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
satterthwaitetb-1,,satterthwaitetb-mandarin,satterthwaitetb-animal,dong wu44,dong wu44,,,SatterthwaitePhillips2011,,
satterthwaitetb-2,,satterthwaitetb-baihong,satterthwaitetb-animal,dʒe31,dʒe31,,,SatterthwaitePhillips2011,,
satterthwaitetb-3,,satterthwaitetb-hani,satterthwaitetb-animal,yo deiv ssaq,yo deiv ssaq,,,SatterthwaitePhillips2011,,
satterthwaitetb-4,,satterthwaitetb-jinghpo,satterthwaitetb-animal,dusat dumyeng,dusat dumyeng,,,SatterthwaitePhillips2011,,
satterthwaitetb-5,,satterthwaitetb-jinuo,satterthwaitetb-animal,pʊ tʃa to tʃa a mɔ,pʊ tʃa to tʃa a mɔ,,,SatterthwaitePhillips2011,,
satterthwaitetb-6,,satterthwaitetb-lahuna,satterthwaitetb-animal,to nud to shat,to nud to shat,,,SatterthwaitePhillips2011,,
satterthwaitetb-7,,satterthwaitetb-naxi,satterthwaitetb-animal,hɯ,hɯ,,,SatterthwaitePhillips2011,,
satterthwaitetb-8,,satterthwaitetb-nosu,satterthwaitetb-animal,lyrw,lyrw,,,SatterthwaitePhillips2011,,
satterthwaitetb-9,,satterthwaitetb-mandarin,satterthwaitetb-ant,ma yi33,ma yi33,,,SatterthwaitePhillips2011,,
satterthwaitetb-10,,satterthwaitetb-baihong,satterthwaitetb-ant,a55 f.55,a55 f.55,,,SatterthwaitePhillips2011,,
satterthwaitetb-11,,satterthwaitetb-biyue,satterthwaitetb-ant,bi31 sv._33,bi31 sv._33,,,SatterthwaitePhillips2011,,
satterthwaitetb-12,,satterthwaitetb-hani,satterthwaitetb-ant,al wu lal deiq,al wu lal deiq,,,SatterthwaitePhillips2011,,
satterthwaitetb-13,,satterthwaitetb-jinghpo,satterthwaitetb-ant,kagyin,kagyin,,,SatterthwaitePhillips2011,,
satterthwaitetb-14,,satterthwaitetb-jinuo,satterthwaitetb-ant,pu xo,pu xo,,,SatterthwaitePhillips2011,,
satterthwaitetb-15,,satterthwaitetb-kucong,satterthwaitetb-ant,bo o,bo o,,,SatterthwaitePhillips2011,,
satterthwaitetb-16,,satterthwaitetb-lahuna,satterthwaitetb-ant,piq xawt ni*,piq xawt ni*,,,SatterthwaitePhillips2011,,
